cliente_id,ano_mes,diasConse,login_flag,churn_flag,risco,perfil
1,2025-07,47.0,17,1,Alerta vermelho,gradual
1,2025-08,49.0,16,1,Alerta vermelho,gradual
1,2025-09,48.0,15,1,Alerta vermelho,gradual
1,2025-10,48.0,13,1,Alerta vermelho,gradual
1,2025-11,49.0,19,1,Alerta vermelho,gradual
1,2025-12,50.0,13,1,Alerta vermelho,gradual
1,2026-01,46.0,13,1,Alerta vermelho,gradual
2,2025-07,42.0,1,1,Alerta vermelho,chronic
2,2025-08,57.0,2,1,Alerta vermelho,chronic
2,2025-09,48.0,1,1,Alerta vermelho,chronic
2,2025-10,48.0,2,1,Alerta vermelho,chronic
2,2025-11,45.0,2,1,Alerta vermelho,chronic
2,2025-12,44.0,3,1,Alerta vermelho,chronic
2,2026-01,53.0,2,1,Alerta vermelho,chronic
3,2025-07,49.0,2,1,Alerta vermelho,chronic
3,2025-08,49.0,2,1,Alerta vermelho,chronic
3,2025-09,44.0,1,1,Alerta vermelho,chronic
3,2025-10,52.0,3,1,Alerta vermelho,chronic
3,2025-11,51.0,2,1,Alerta vermelho,chronic
3,2025-12,43.0,2,1,Alerta vermelho,chronic
3,2026-01,46.0,2,1,Alerta vermelho,chronic
4,2025-07,43.0,16,1,Alerta vermelho,gradual
4,2025-08,45.0,12,1,Alerta vermelho,gradual
4,2025-09,47.0,14,1,Alerta vermelho,gradual
4,2025-10,53.0,17,1,Alerta vermelho,gradual
4,2025-11,53.0,18,1,Alerta vermelho,gradual
4,2025-12,50.0,18,1,Alerta vermelho,gradual
4,2026-01,44.0,16,1,Alerta vermelho,gradual
5,2025-07,51.0,5,1,Alerta vermelho,weekend
5,2025-08,43.0,5,1,Alerta vermelho,weekend
5,2025-09,45.0,4,1,Alerta vermelho,weekend
5,2025-10,49.0,4,1,Alerta vermelho,weekend
5,2025-11,38.0,5,1,Alerta vermelho,weekend
5,2025-12,47.0,4,1,Alerta vermelho,weekend
5,2026-01,40.0,5,1,Alerta vermelho,weekend
6,2025-07,56.0,4,1,Alerta vermelho,weekend
6,2025-08,46.0,3,1,Alerta vermelho,weekend
6,2025-09,47.0,5,1,Alerta vermelho,weekend
6,2025-10,44.0,4,1,Alerta vermelho,weekend
6,2025-11,45.0,5,1,Alerta vermelho,weekend
6,2025-12,46.0,5,1,Alerta vermelho,weekend
6,2026-01,37.0,5,1,Alerta vermelho,weekend
7,2025-07,45.0,18,1,Alerta vermelho,heavy
7,2025-08,44.0,20,1,Alerta vermelho,heavy
7,2025-09,52.0,17,1,Alerta vermelho,heavy
7,2025-10,52.0,19,1,Alerta vermelho,heavy
7,2025-11,51.0,17,1,Alerta vermelho,heavy
7,2025-12,51.0,19,1,Alerta vermelho,heavy
7,2026-01,46.0,17,1,Alerta vermelho,heavy
8,2025-07,47.0,2,1,Alerta vermelho,chronic
8,2025-08,53.0,2,1,Alerta vermelho,chronic
8,2025-09,49.0,2,1,Alerta vermelho,chronic
8,2025-10,52.0,2,1,Alerta vermelho,chronic
8,2025-11,48.0,2,1,Alerta vermelho,chronic
8,2025-12,53.0,2,1,Alerta vermelho,chronic
8,2026-01,43.0,2,1,Alerta vermelho,chronic
9,2025-07,53.0,2,1,Alerta vermelho,chronic
9,2025-08,47.0,2,1,Alerta vermelho,chronic
9,2025-09,49.0,1,1,Alerta vermelho,chronic
9,2025-10,45.0,2,1,Alerta vermelho,chronic
9,2025-11,51.0,3,1,Alerta vermelho,chronic
9,2025-12,46.0,2,1,Alerta vermelho,chronic
9,2026-01,42.0,3,1,Alerta vermelho,chronic
10,2025-07,50.0,2,1,Alerta vermelho,chronic
10,2025-08,52.0,3,1,Alerta vermelho,chronic
10,2025-09,41.0,2,1,Alerta vermelho,chronic
10,2025-10,53.0,1,1,Alerta vermelho,chronic
10,2025-11,43.0,3,1,Alerta vermelho,chronic
10,2025-12,51.0,2,1,Alerta vermelho,chronic
10,2026-01,49.0,2,1,Alerta vermelho,chronic
11,2025-07,47.0,15,1,Alerta vermelho,heavy
11,2025-08,45.0,16,1,Alerta vermelho,heavy
11,2025-09,51.0,18,1,Alerta vermelho,heavy
11,2025-10,40.0,14,1,Alerta vermelho,heavy
11,2025-11,44.0,18,1,Alerta vermelho,heavy
11,2025-12,49.0,18,1,Alerta vermelho,heavy
11,2026-01,44.0,19,1,Alerta vermelho,heavy
12,2025-07,47.0,2,1,Alerta vermelho,chronic
12,2025-08,48.0,2,1,Alerta vermelho,chronic
12,2025-09,49.0,2,1,Alerta vermelho,chronic
